0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,kfold
-0.0729325,-0.21023533,0.0,0.0,-0.10341754,-0.64888567,-0.2236068,-0.0729325,-0.90405077,-0.14704292,-0.24859154,-0.1810715,-0.0729325,-0.42573464,-0.0729325,7.8740077,-0.35355338,-0.12700014,-0.0729325,-0.21023533,-0.0729325,-0.0729325,-0.10341754,-0.16484511,-0.14704292,-0.0729325,-0.12700014,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.24859154,-0.1810715,-0.0729325,-0.0729325,-0.12700014,-0.16484511,-0.14704292,-0.19611613,-0.16484511,-0.28284273,-0.46835333,-0.1810715,-0.2236068,-0.0729325,-0.10341754,-0.12700014,-0.0729325,-0.10341754,-0.16484511,-0.0729325,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.0729325,-0.0729325,-0.23635973,-0.0729325,-0.16484511,-0.4514661,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.1810715,-0.0729325,-0.0729325,0.0,-0.2236068,-0.12700014,-0.0729325,-0.0729325,-0.16484511,-0.12700014,0.0,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.2236068,-0.10341754,-0.28284273,-0.10341754,-0.1810715,-0.10341754,-0.0729325,-0.12700014,-0.14704292,-0.0729325,-0.0729325,-0.10341754,-0.10341754,2.9912152,-0.1810715,-0.0729325,-0.12700014,-0.0729325,-0.16484511,-0.0729325,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.0729325,-0.14704292,-0.14704292,-0.28284273,-0.10341754,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.19611613,-0.0729325,-0.0729325,-0.0729325,2.302173,-0.10341754,-0.14704292,-0.0729325,-0.10341754,-0.28284273,-0.0729325,0.0,3.2882366,-0.10341754,5.0990195,-0.0729325,-0.23635973,-0.14704292,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.12700014,-0.10341754,-0.2236068,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.29361013,-0.0729325,-0.23635973,-0.0729325,-0.0729325,-0.12700014,-0.64066195,-0.0729325,0.0,-0.12700014,-0.0729325,-0.2236068,-0.0729325,-0.12700014,-0.0729325,-0.0729325,0.0,-0.1810715,-0.19611613,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,0.0,-0.27177864,-0.12700014,-0.16484511,6.0663004,-0.0729325,-0.16484511,-0.6653932,2
-0.0729325,-0.21023533,0.0,0.0,-0.10341754,-0.64888567,-0.2236068,-0.0729325,1.1061326,-0.14704292,-0.24859154,-0.1810715,-0.0729325,-0.42573464,-0.0729325,-0.12700014,-0.35355338,-0.12700014,-0.0729325,-0.21023533,-0.0729325,-0.0729325,-0.10341754,-0.16484511,-0.14704292,-0.0729325,-0.12700014,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.24859154,-0.1810715,-0.0729325,-0.0729325,-0.12700014,-0.16484511,-0.14704292,-0.19611613,-0.16484511,-0.28284273,-0.46835333,-0.1810715,-0.2236068,-0.0729325,-0.10341754,-0.12700014,-0.0729325,-0.10341754,-0.16484511,-0.0729325,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.0729325,-0.0729325,-0.23635973,-0.0729325,-0.16484511,-0.4514661,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.1810715,-0.0729325,-0.0729325,0.0,-0.2236068,-0.12700014,-0.0729325,-0.0729325,-0.16484511,-0.12700014,0.0,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.2236068,-0.10341754,-0.28284273,-0.10341754,-0.1810715,-0.10341754,-0.0729325,-0.12700014,-0.14704292,-0.0729325,-0.0729325,-0.10341754,-0.10341754,-0.3343123,-0.1810715,-0.0729325,-0.12700014,-0.0729325,-0.16484511,-0.0729325,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.0729325,-0.14704292,-0.14704292,-0.28284273,-0.10341754,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.19611613,-0.0729325,-0.0729325,-0.0729325,-0.43437225,-0.10341754,-0.14704292,-0.0729325,-0.10341754,-0.28284273,-0.0729325,0.0,-0.30411437,-0.10341754,-0.19611613,-0.0729325,4.2308393,-0.14704292,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.12700014,-0.10341754,-0.2236068,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.29361013,-0.0729325,-0.23635973,-0.0729325,-0.0729325,-0.12700014,1.5608854,-0.0729325,0.0,-0.12700014,-0.0729325,-0.2236068,-0.0729325,-0.12700014,-0.0729325,-0.0729325,0.0,-0.1810715,-0.19611613,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,0.0,-0.27177864,-0.12700014,-0.16484511,-0.16484511,-0.0729325,-0.16484511,-0.6653932,0
-0.0729325,-0.21023533,0.0,0.0,-0.10341754,-0.64888567,-0.2236068,-0.0729325,1.1061326,-0.14704292,-0.24859154,5.5226803,-0.0729325,2.3488808,-0.0729325,-0.12700014,-0.35355338,-0.12700014,-0.0729325,-0.21023533,-0.0729325,-0.0729325,-0.10341754,-0.16484511,-0.14704292,-0.0729325,-0.12700014,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.24859154,-0.1810715,-0.0729325,-0.0729325,-0.12700014,-0.16484511,-0.14704292,-0.19611613,-0.16484511,-0.28284273,2.1351402,-0.1810715,-0.2236068,-0.0729325,-0.10341754,-0.12700014,-0.0729325,-0.10341754,-0.16484511,-0.0729325,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.0729325,-0.0729325,-0.23635973,-0.0729325,-0.16484511,-0.4514661,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.1810715,-0.0729325,-0.0729325,0.0,-0.2236068,-0.12700014,-0.0729325,-0.0729325,-0.16484511,-0.12700014,0.0,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.2236068,-0.10341754,-0.28284273,-0.10341754,-0.1810715,-0.10341754,-0.0729325,-0.12700014,-0.14704292,-0.0729325,-0.0729325,-0.10341754,-0.10341754,-0.3343123,-0.1810715,-0.0729325,-0.12700014,-0.0729325,-0.16484511,-0.0729325,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.0729325,-0.14704292,-0.14704292,-0.28284273,-0.10341754,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.19611613,-0.0729325,-0.0729325,-0.0729325,-0.43437225,-0.10341754,-0.14704292,-0.0729325,-0.10341754,-0.28284273,-0.0729325,0.0,-0.30411437,-0.10341754,-0.19611613,-0.0729325,-0.23635973,-0.14704292,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.12700014,-0.10341754,-0.2236068,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.29361013,-0.0729325,-0.23635973,-0.0729325,-0.0729325,-0.12700014,-0.64066195,-0.0729325,0.0,-0.12700014,-0.0729325,-0.2236068,-0.0729325,-0.12700014,-0.0729325,-0.0729325,0.0,-0.1810715,-0.19611613,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,0.0,-0.27177864,-0.12700014,-0.16484511,-0.16484511,-0.0729325,-0.16484511,-0.6653932,2
-0.0729325,-0.21023533,0.0,0.0,-0.10341754,-0.64888567,-0.2236068,-0.0729325,1.1061326,-0.14704292,-0.24859154,-0.1810715,-0.0729325,-0.42573464,-0.0729325,-0.12700014,-0.35355338,-0.12700014,-0.0729325,-0.21023533,-0.0729325,-0.0729325,-0.10341754,-0.16484511,-0.14704292,-0.0729325,-0.12700014,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.24859154,-0.1810715,-0.0729325,-0.0729325,-0.12700014,-0.16484511,-0.14704292,-0.19611613,-0.16484511,-0.28284273,2.1351402,5.5226803,-0.2236068,-0.0729325,-0.10341754,-0.12700014,-0.0729325,-0.10341754,-0.16484511,-0.0729325,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.0729325,-0.0729325,-0.23635973,-0.0729325,-0.16484511,-0.4514661,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.1810715,-0.0729325,-0.0729325,0.0,-0.2236068,-0.12700014,-0.0729325,-0.0729325,-0.16484511,-0.12700014,0.0,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.2236068,-0.10341754,-0.28284273,-0.10341754,-0.1810715,-0.10341754,-0.0729325,-0.12700014,-0.14704292,-0.0729325,-0.0729325,-0.10341754,-0.10341754,-0.3343123,-0.1810715,-0.0729325,-0.12700014,-0.0729325,-0.16484511,-0.0729325,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.0729325,-0.14704292,-0.14704292,-0.28284273,-0.10341754,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.19611613,-0.0729325,-0.0729325,-0.0729325,2.302173,-0.10341754,-0.14704292,-0.0729325,-0.10341754,-0.28284273,-0.0729325,0.0,-0.30411437,-0.10341754,-0.19611613,-0.0729325,-0.23635973,-0.14704292,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.12700014,-0.10341754,-0.2236068,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.29361013,-0.0729325,-0.23635973,-0.0729325,-0.0729325,-0.12700014,-0.64066195,-0.0729325,0.0,-0.12700014,-0.0729325,-0.2236068,-0.0729325,-0.12700014,-0.0729325,-0.0729325,0.0,-0.1810715,-0.19611613,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,0.0,-0.27177864,-0.12700014,-0.16484511,-0.16484511,-0.0729325,-0.16484511,-0.6653932,0
-0.0729325,-0.21023533,0.0,0.0,-0.10341754,-0.64888567,-0.2236068,-0.0729325,1.1061326,-0.14704292,-0.24859154,-0.1810715,-0.0729325,-0.42573464,-0.0729325,-0.12700014,-0.35355338,-0.12700014,-0.0729325,-0.21023533,-0.0729325,-0.0729325,-0.10341754,-0.16484511,-0.14704292,-0.0729325,-0.12700014,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.24859154,-0.1810715,-0.0729325,-0.0729325,-0.12700014,-0.16484511,-0.14704292,-0.19611613,-0.16484511,-0.28284273,-0.46835333,-0.1810715,-0.2236068,-0.0729325,-0.10341754,-0.12700014,-0.0729325,-0.10341754,-0.16484511,-0.0729325,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.0729325,-0.0729325,-0.23635973,-0.0729325,-0.16484511,-0.4514661,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.1810715,-0.0729325,-0.0729325,0.0,-0.2236068,-0.12700014,-0.0729325,-0.0729325,6.0663004,-0.12700014,0.0,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.2236068,-0.10341754,-0.28284273,-0.10341754,-0.1810715,-0.10341754,-0.0729325,-0.12700014,-0.14704292,-0.0729325,-0.0729325,-0.10341754,-0.10341754,-0.3343123,-0.1810715,-0.0729325,-0.12700014,-0.0729325,-0.16484511,-0.0729325,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.0729325,-0.14704292,-0.14704292,-0.28284273,-0.10341754,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.19611613,-0.0729325,-0.0729325,-0.0729325,2.302173,-0.10341754,-0.14704292,-0.0729325,-0.10341754,-0.28284273,-0.0729325,0.0,-0.30411437,-0.10341754,-0.19611613,-0.0729325,-0.23635973,-0.14704292,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.12700014,-0.10341754,-0.2236068,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.29361013,-0.0729325,-0.23635973,-0.0729325,-0.0729325,-0.12700014,-0.64066195,-0.0729325,0.0,-0.12700014,-0.0729325,-0.2236068,-0.0729325,-0.12700014,-0.0729325,-0.0729325,0.0,-0.1810715,-0.19611613,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,0.0,-0.27177864,-0.12700014,-0.16484511,-0.16484511,-0.0729325,-0.16484511,-0.6653932,3
-0.0729325,-0.21023533,0.0,0.0,-0.10341754,1.5411035,-0.2236068,-0.0729325,1.1061326,-0.14704292,-0.24859154,-0.1810715,-0.0729325,-0.42573464,-0.0729325,-0.12700014,-0.35355338,-0.12700014,-0.0729325,-0.21023533,-0.0729325,-0.0729325,-0.10341754,-0.16484511,-0.14704292,-0.0729325,-0.12700014,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.24859154,-0.1810715,-0.0729325,-0.0729325,-0.12700014,-0.16484511,-0.14704292,-0.19611613,-0.16484511,-0.28284273,-0.46835333,-0.1810715,-0.2236068,-0.0729325,-0.10341754,-0.12700014,-0.0729325,-0.10341754,-0.16484511,-0.0729325,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.0729325,-0.0729325,-0.23635973,-0.0729325,-0.16484511,2.2150056,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.1810715,-0.0729325,-0.0729325,0.0,-0.2236068,-0.12700014,-0.0729325,-0.0729325,-0.16484511,-0.12700014,0.0,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.2236068,-0.10341754,-0.28284273,-0.10341754,-0.1810715,-0.10341754,-0.0729325,-0.12700014,-0.14704292,-0.0729325,-0.0729325,-0.10341754,-0.10341754,-0.3343123,-0.1810715,-0.0729325,-0.12700014,-0.0729325,-0.16484511,-0.0729325,-0.0729325,-0.16484511,13.711309,-0.12700014,-0.0729325,-0.14704292,-0.14704292,-0.28284273,-0.10341754,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.19611613,-0.0729325,-0.0729325,-0.0729325,-0.43437225,-0.10341754,6.8007355,-0.0729325,-0.10341754,-0.28284273,-0.0729325,0.0,-0.30411437,-0.10341754,-0.19611613,-0.0729325,-0.23635973,-0.14704292,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.12700014,-0.10341754,-0.2236068,-0.0729325,-0.16484511,-0.0729325,-0.12700014,3.4058774,-0.0729325,-0.23635973,-0.0729325,-0.0729325,-0.12700014,-0.64066195,-0.0729325,0.0,-0.12700014,-0.0729325,-0.2236068,-0.0729325,-0.12700014,-0.0729325,-0.0729325,0.0,-0.1810715,-0.19611613,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,0.0,-0.27177864,-0.12700014,-0.16484511,-0.16484511,-0.0729325,-0.16484511,1.5028708,1
-0.0729325,-0.21023533,0.0,0.0,-0.10341754,1.5411035,-0.2236068,-0.0729325,1.1061326,-0.14704292,-0.24859154,-0.1810715,-0.0729325,-0.42573464,-0.0729325,-0.12700014,-0.35355338,-0.12700014,-0.0729325,-0.21023533,-0.0729325,-0.0729325,-0.10341754,-0.16484511,-0.14704292,-0.0729325,-0.12700014,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.24859154,-0.1810715,-0.0729325,-0.0729325,-0.12700014,-0.16484511,-0.14704292,-0.19611613,-0.16484511,-0.28284273,-0.46835333,-0.1810715,-0.2236068,-0.0729325,-0.10341754,-0.12700014,-0.0729325,-0.10341754,-0.16484511,-0.0729325,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.0729325,-0.0729325,-0.23635973,-0.0729325,-0.16484511,-0.4514661,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.1810715,-0.0729325,-0.0729325,0.0,-0.2236068,-0.12700014,-0.0729325,-0.0729325,-0.16484511,-0.12700014,0.0,-0.10341754,-0.0729325,-0.23635973,9.669539,-0.2236068,-0.10341754,-0.28284273,-0.10341754,-0.1810715,-0.10341754,-0.0729325,-0.12700014,-0.14704292,-0.0729325,-0.0729325,-0.10341754,-0.10341754,-0.3343123,-0.1810715,-0.0729325,-0.12700014,-0.0729325,-0.16484511,-0.0729325,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.0729325,-0.14704292,-0.14704292,-0.28284273,-0.10341754,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.19611613,-0.0729325,-0.0729325,-0.0729325,-0.43437225,-0.10341754,-0.14704292,-0.0729325,-0.10341754,3.535534,-0.0729325,0.0,-0.30411437,-0.10341754,-0.19611613,-0.0729325,-0.23635973,-0.14704292,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.12700014,-0.10341754,-0.2236068,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.29361013,-0.0729325,-0.23635973,-0.0729325,-0.0729325,-0.12700014,1.5608854,-0.0729325,0.0,-0.12700014,-0.0729325,-0.2236068,-0.0729325,-0.12700014,-0.0729325,-0.0729325,0.0,-0.1810715,5.0990195,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,0.0,-0.27177864,-0.12700014,-0.16484511,-0.16484511,-0.0729325,-0.16484511,-0.6653932,3
-0.0729325,-0.21023533,0.0,0.0,-0.10341754,-0.64888567,-0.2236068,-0.0729325,-0.90405077,-0.14704292,-0.24859154,-0.1810715,-0.0729325,-0.42573464,-0.0729325,-0.12700014,-0.35355338,-0.12700014,-0.0729325,-0.21023533,-0.0729325,-0.0729325,-0.10341754,-0.16484511,-0.14704292,-0.0729325,-0.12700014,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.24859154,-0.1810715,-0.0729325,-0.0729325,-0.12700014,-0.16484511,-0.14704292,-0.19611613,-0.16484511,-0.28284273,-0.46835333,-0.1810715,-0.2236068,-0.0729325,-0.10341754,-0.12700014,-0.0729325,-0.10341754,-0.16484511,-0.0729325,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.0729325,-0.0729325,-0.23635973,-0.0729325,-0.16484511,-0.4514661,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.1810715,-0.0729325,-0.0729325,0.0,-0.2236068,-0.12700014,-0.0729325,-0.0729325,-0.16484511,-0.12700014,0.0,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.2236068,-0.10341754,-0.28284273,-0.10341754,-0.1810715,-0.10341754,-0.0729325,-0.12700014,-0.14704292,-0.0729325,-0.0729325,-0.10341754,-0.10341754,-0.3343123,-0.1810715,-0.0729325,-0.12700014,-0.0729325,-0.16484511,-0.0729325,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.0729325,-0.14704292,-0.14704292,-0.28284273,-0.10341754,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.19611613,-0.0729325,-0.0729325,-0.0729325,-0.43437225,-0.10341754,-0.14704292,-0.0729325,-0.10341754,-0.28284273,-0.0729325,0.0,-0.30411437,-0.10341754,-0.19611613,-0.0729325,-0.23635973,-0.14704292,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.12700014,-0.10341754,-0.2236068,-0.0729325,-0.16484511,-0.0729325,7.8740077,-0.29361013,-0.0729325,-0.23635973,-0.0729325,-0.0729325,-0.12700014,-0.64066195,-0.0729325,0.0,-0.12700014,-0.0729325,-0.2236068,-0.0729325,-0.12700014,-0.0729325,-0.0729325,0.0,-0.1810715,-0.19611613,-0.10341754,-0.0729325,13.711309,-0.10341754,-0.0729325,0.0,-0.27177864,-0.12700014,-0.16484511,-0.16484511,-0.0729325,-0.16484511,-0.6653932,4
-0.0729325,-0.21023533,0.0,0.0,-0.10341754,1.5411035,-0.2236068,-0.0729325,-0.90405077,-0.14704292,-0.24859154,-0.1810715,-0.0729325,-0.42573464,-0.0729325,-0.12700014,2.828427,-0.12700014,-0.0729325,-0.21023533,-0.0729325,-0.0729325,-0.10341754,-0.16484511,-0.14704292,-0.0729325,-0.12700014,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.24859154,-0.1810715,-0.0729325,-0.0729325,-0.12700014,-0.16484511,-0.14704292,-0.19611613,-0.16484511,-0.28284273,-0.46835333,-0.1810715,-0.2236068,-0.0729325,-0.10341754,-0.12700014,-0.0729325,-0.10341754,-0.16484511,-0.0729325,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.0729325,-0.0729325,-0.23635973,-0.0729325,-0.16484511,-0.4514661,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.1810715,-0.0729325,-0.0729325,0.0,-0.2236068,-0.12700014,-0.0729325,-0.0729325,-0.16484511,-0.12700014,0.0,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.2236068,-0.10341754,-0.28284273,-0.10341754,-0.1810715,-0.10341754,-0.0729325,-0.12700014,-0.14704292,-0.0729325,-0.0729325,-0.10341754,-0.10341754,-0.3343123,-0.1810715,-0.0729325,-0.12700014,-0.0729325,-0.16484511,-0.0729325,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.0729325,-0.14704292,-0.14704292,-0.28284273,-0.10341754,9.669539,-0.0729325,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.19611613,-0.0729325,-0.0729325,-0.0729325,-0.43437225,-0.10341754,-0.14704292,-0.0729325,-0.10341754,3.535534,-0.0729325,0.0,-0.30411437,-0.10341754,-0.19611613,-0.0729325,-0.23635973,-0.14704292,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.12700014,-0.10341754,-0.2236068,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.29361013,-0.0729325,-0.23635973,-0.0729325,-0.0729325,-0.12700014,1.5608854,-0.0729325,0.0,-0.12700014,-0.0729325,-0.2236068,-0.0729325,-0.12700014,-0.0729325,-0.0729325,0.0,-0.1810715,-0.19611613,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,0.0,-0.27177864,-0.12700014,-0.16484511,-0.16484511,-0.0729325,-0.16484511,-0.6653932,3
-0.0729325,-0.21023533,0.0,0.0,-0.10341754,-0.64888567,-0.2236068,-0.0729325,-0.90405077,-0.14704292,-0.24859154,-0.1810715,-0.0729325,2.3488808,-0.0729325,-0.12700014,-0.35355338,-0.12700014,-0.0729325,-0.21023533,-0.0729325,-0.0729325,-0.10341754,-0.16484511,-0.14704292,-0.0729325,-0.12700014,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.24859154,-0.1810715,-0.0729325,-0.0729325,-0.12700014,-0.16484511,-0.14704292,-0.19611613,-0.16484511,-0.28284273,-0.46835333,-0.1810715,-0.2236068,-0.0729325,-0.10341754,-0.12700014,-0.0729325,-0.10341754,-0.16484511,-0.0729325,-0.10341754,-0.0729325,4.2308393,-0.10341754,-0.0729325,-0.0729325,-0.23635973,-0.0729325,-0.16484511,-0.4514661,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.1810715,-0.0729325,-0.0729325,0.0,-0.2236068,-0.12700014,-0.0729325,-0.0729325,-0.16484511,-0.12700014,0.0,-0.10341754,-0.0729325,4.2308393,-0.10341754,-0.2236068,-0.10341754,-0.28284273,-0.10341754,-0.1810715,-0.10341754,-0.0729325,-0.12700014,-0.14704292,-0.0729325,-0.0729325,-0.10341754,-0.10341754,-0.3343123,-0.1810715,-0.0729325,-0.12700014,-0.0729325,-0.16484511,-0.0729325,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.0729325,-0.14704292,-0.14704292,-0.28284273,-0.10341754,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.19611613,-0.0729325,-0.0729325,-0.0729325,-0.43437225,-0.10341754,-0.14704292,-0.0729325,-0.10341754,-0.28284273,-0.0729325,0.0,3.2882366,-0.10341754,-0.19611613,-0.0729325,-0.23635973,-0.14704292,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.12700014,-0.10341754,-0.2236068,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.29361013,-0.0729325,-0.23635973,-0.0729325,-0.0729325,-0.12700014,-0.64066195,-0.0729325,0.0,-0.12700014,-0.0729325,-0.2236068,-0.0729325,-0.12700014,-0.0729325,-0.0729325,0.0,-0.1810715,-0.19611613,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,0.0,-0.27177864,-0.12700014,-0.16484511,-0.16484511,-0.0729325,-0.16484511,-0.6653932,1
-0.0729325,-0.21023533,0.0,0.0,-0.10341754,-0.64888567,-0.2236068,-0.0729325,-0.90405077,-0.14704292,-0.24859154,-0.1810715,-0.0729325,-0.42573464,-0.0729325,-0.12700014,2.828427,-0.12700014,-0.0729325,-0.21023533,-0.0729325,-0.0729325,-0.10341754,-0.16484511,-0.14704292,-0.0729325,-0.12700014,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.24859154,-0.1810715,-0.0729325,-0.0729325,-0.12700014,-0.16484511,-0.14704292,-0.19611613,-0.16484511,-0.28284273,-0.46835333,-0.1810715,-0.2236068,-0.0729325,-0.10341754,-0.12700014,-0.0729325,-0.10341754,-0.16484511,-0.0729325,-0.10341754,-0.0729325,-0.23635973,-0.10341754,-0.0729325,-0.0729325,-0.23635973,-0.0729325,-0.16484511,-0.4514661,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.1810715,-0.0729325,-0.0729325,0.0,-0.2236068,-0.12700014,-0.0729325,-0.0729325,-0.16484511,-0.12700014,0.0,9.669539,-0.0729325,-0.23635973,-0.10341754,-0.2236068,-0.10341754,-0.28284273,-0.10341754,-0.1810715,-0.10341754,-0.0729325,-0.12700014,-0.14704292,-0.0729325,-0.0729325,-0.10341754,-0.10341754,-0.3343123,-0.1810715,-0.0729325,-0.12700014,-0.0729325,-0.16484511,-0.0729325,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.0729325,-0.14704292,-0.14704292,-0.28284273,-0.10341754,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.0729325,-0.10341754,-0.19611613,-0.0729325,-0.0729325,-0.0729325,-0.43437225,-0.10341754,-0.14704292,-0.0729325,-0.10341754,-0.28284273,-0.0729325,0.0,-0.30411437,-0.10341754,-0.19611613,-0.0729325,-0.23635973,-0.14704292,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.0729325,-0.12700014,-0.10341754,-0.2236068,-0.0729325,-0.16484511,-0.0729325,-0.12700014,-0.29361013,-0.0729325,-0.23635973,-0.0729325,-0.0729325,-0.12700014,-0.64066195,-0.0729325,0.0,-0.12700014,-0.0729325,-0.2236068,-0.0729325,-0.12700014,-0.0729325,-0.0729325,0.0,-0.1810715,-0.19611613,-0.10341754,-0.0729325,-0.0729325,-0.10341754,-0.0729325,0.0,-0.27177864,-0.12700014,-0.16484511,-0.16484511,-0.0729325,-0.16484511,-0.6653932,4
